segment,day_name,week_idx,avg_exp
Lv.295~299,토,11,6131742507384.848
Lv.295~299,토,12,7395370095608.348
Lv.295~299,토,13,9058452418644.219
Lv.295~299,토,14,10950617429984.793
Lv.295~299,토,15,12277762716927.402
Lv.295~299,토,16,13183780343120.201
Lv.295~299,토,17,14212298842332.322
Lv.295~299,토,18,15938160862564.102
Lv.295~299,토,19,16177577238122.986
Lv.295~299,화,1,4586373374667.289
Lv.295~299,화,2,4643851925675.826
Lv.295~299,화,3,4719874735784.924
Lv.295~299,화,4,4855023318100.384
Lv.295~299,화,5,4545909648342.211
Lv.295~299,화,6,4703351244682.511
Lv.295~299,화,7,5390301546741.369
Lv.295~299,화,8,5003553641071.283
Lv.295~299,화,9,5365171390372.474
Lv.295~299,화,10,6434418818440.439
Lv.295~299,화,11,5677406619025.4
Lv.295~299,화,12,5612261138257.797
Lv.295~299,화,13,6444442954688.288
Lv.295~299,화,14,8026380713467.653
Lv.295~299,화,15,11086692572010.66
Lv.295~299,화,16,10839869111729.586
Lv.295~299,화,17,12307893777183.47
Lv.295~299,화,18,12961107534283.557
Lv.300,금,1,13890910752503.25
Lv.300,금,2,8996622148588.75
Lv.300,금,3,9303926131458.5
Lv.300,금,4,8688680757594.75
Lv.300,금,5,0.0
Lv.300,금,6,0.0
Lv.300,금,7,0.0
Lv.300,금,8,0.0
Lv.300,금,9,0.0
Lv.300,금,10,0.0
Lv.300,금,11,0.0
Lv.300,금,12,0.0
Lv.300,금,13,0.0
Lv.300,금,14,0.0
Lv.300,금,15,0.0
Lv.300,금,16,0.0
Lv.300,금,17,0.0
Lv.300,금,18,0.0
Lv.300,목,1,15210594749995.75
Lv.300,목,2,10675224698350.0
Lv.300,목,3,9353234145108.0
Lv.300,목,4,9516252053843.5
Lv.300,목,5,3832422787204.75
Lv.300,목,6,0.0
Lv.300,목,7,0.0
Lv.300,목,8,0.0
Lv.300,목,9,0.0
Lv.300,목,11,0.0
Lv.300,목,12,0.0
Lv.300,목,13,0.0
Lv.300,목,14,0.0
Lv.300,목,15,0.0
Lv.300,목,16,0.0
Lv.300,목,17,0.0
Lv.300,목,18,0.0
Lv.300,수,1,21986516894534.25
Lv.300,수,2,18776139081190.5
Lv.300,수,3,14000036072055.5
Lv.300,수,4,15464632491579.5
Lv.300,수,5,9909750351235.0
Lv.300,수,6,0.0
Lv.300,수,7,0.0
Lv.300,수,8,0.0
Lv.300,수,9,0.0
Lv.300,수,10,0.0
Lv.300,수,11,0.0
Lv.300,수,12,0.0
Lv.300,수,13,0.0
Lv.300,수,14,0.0
Lv.300,수,15,0.0
Lv.300,수,16,0.0
Lv.300,수,17,0.0
