name,segment,job,world,world_group,tier,union_level,access_flag,character_age_days,event_flag,duration_days,trailing_inactive_days,first_active_date,last_active_date,active_day_count,active_day_ratio,avg_exp_on_active_days,pre_avg,post_avg
얼음마법사시,Lv.285~289,마법사,오로라,기타,3,9393.0,True,2714.0,0,124,4,2025-11-10,2026-03-11,34,0.2698,1260576419950.5,419560231630.45715,309615276607.1539
얼음빵디,Lv.285~289,마법사,스카니아,스카니아,2,9790.0,True,2787.0,0,125,0,2025-11-09,2026-03-15,125,0.9921,4522618395046.92,3275509339902.3716,4952576620706.3955
얼음팡,Lv.285~289,마법사,엘리시움,기타,3,9538.0,True,1471.0,0,125,0,2025-11-09,2026-03-15,106,0.8413,108360794435.84906,81160646768.68571,95006830475.78021
얼화,Lv.290~294,기사단,크로아,루나크로아,2,9446.0,False,1349.0,1,46,79,2025-11-09,2025-12-25,39,0.3095,2637554327703.0,2560307055655.6855,145646943213.93405
엄마친구아델,Lv.285~289,아델,엘리시움,기타,3,9476.0,True,2227.0,0,123,0,2025-11-11,2026-03-15,20,0.1587,2804203130798.75,322048320987.74286,492443641553.89014
엄밤입니다,Lv.285~289,마법사,엘리시움,기타,3,8962.0,True,1163.0,1,69,56,2025-11-09,2026-01-18,29,0.2302,1155227998032.3447,726643574195.2,88671284023.14285
엄지공주,Lv.290~294,기사단,베라,베라,2,10034.0,True,3305.0,0,125,0,2025-11-09,2026-03-15,110,0.873,4629104202433.318,1113376063635.3142,5167398901543.176
업깅,Lv.285~289,마법사,엘리시움,기타,2,9313.0,True,4344.0,0,124,0,2025-11-10,2026-03-15,102,0.8095,5729018400546.588,1494112249190.8572,5846878550923.868
업소용,Lv.285~289,아델,베라,베라,3,10230.0,True,2250.0,0,125,0,2025-11-09,2026-03-15,97,0.7698,251910860699.38144,413784919119.17145,109372322183.17583
업쩍,Lv.290~294,기사단,엘리시움,기타,2,9991.0,True,1352.0,0,125,0,2025-11-09,2026-03-15,126,1.0,2400596999801.2144,2270691405127.6284,2450560690060.2856
업회,Lv.285~289,렌,유니온,기타,3,9098.0,True,269.0,0,119,0,2025-11-15,2026-03-15,64,0.5289,1628523857633.0938,1546232728421.0667,635588406987.7583
없소,Lv.285~289,해적,크로아,루나크로아,3,8998.0,True,2555.0,1,32,62,2025-12-10,2026-01-11,2,0.0159,21122344194.5,601422480.3428571,232911006.34065935
없쮜,Lv.285~289,레지스탕스,베라,베라,3,9055.0,True,4699.0,0,53,0,2026-01-21,2026-03-15,25,0.1984,4265191406872.16,0.0,1171755881008.8352
엇밍,Lv.285~289,아델,스카니아,스카니아,3,9685.0,True,1858.0,0,125,0,2025-11-09,2026-03-15,110,0.873,1522750150521.8,1003041707031.7142,1454901723200.967
엉숭,Lv.285~289,일리움,오로라,기타,2,9745.0,True,250.0,0,99,0,2025-12-05,2026-03-15,97,0.97,9798310729137.566,4389262251619.1113,10010250334744.748
에게데렌,Lv.285~289,렌,오로라,기타,3,9939.0,True,269.0,0,125,0,2025-11-09,2026-03-15,119,0.9444,2840336772647.336,3332561071032.514,2432532290757.088
에네0,Lv.290~294,레지스탕스,크로아,루나크로아,2,9439.0,True,3420.0,0,125,0,2025-11-09,2026-03-15,120,0.9524,7662081998204.85,3724939154202.971,8671175487774.483
에딘제거,Lv.285~289,호영,베라,베라,3,9832.0,False,2173.0,0,120,0,2025-11-14,2026-03-15,21,0.1667,1698131699722.6667,892020485872.6857,48791743831.12088
에루남편,Lv.290~294,호영,엘리시움,기타,2,9459.0,True,2424.0,0,125,1,2025-11-09,2026-03-14,118,0.9365,2941397833843.0933,1446744230143.3713,3257680179543.5933
에르타엔,Lv.285~289,마법사,크로아,루나크로아,2,9129.0,True,579.0,0,125,0,2025-11-09,2026-03-15,126,1.0,4509495408884.31,2847115371096.2,5148872346495.121
에리리,Lv.295~299,아란,크로아,루나크로아,1,10295.0,True,3773.0,0,124,0,2025-11-10,2026-03-15,120,0.9524,5728656583826.325,3550447407021.2856,6188715723224.33
에반도잘해,Lv.290~294,에반,크로아,루나크로아,2,9712.0,True,1791.0,0,125,0,2025-11-09,2026-03-15,114,0.9048,6450287951461.395,2694871009951.2573,7044091660640.714
에반보단강함,Lv.285~289,마법사,베라,베라,3,9281.0,True,962.0,1,1,71,2026-01-02,2026-01-02,1,0.0079,14671820.0,0.0,161228.7912087912
에빈,Lv.290~294,마법사,스카니아,스카니아,1,9611.0,True,3188.0,0,125,0,2025-11-09,2026-03-15,121,0.9603,13903654017051.877,4925109967802.714,16593003155936.066
에이트라슈,Lv.285~289,렌,루나,기타,3,8649.0,False,269.0,1,91,27,2025-11-16,2026-02-16,78,0.6555,1058408796542.1794,352650677269.8929,798699639194.8682
에프리슈,Lv.285~289,마법사,엘리시움,기타,2,9641.0,True,864.0,0,124,0,2025-11-10,2026-03-15,81,0.6429,4810866916462.062,1091077965133.6571,3862554851140.099
엑슬리,Lv.285~289,레지스탕스,스카니아,스카니아,3,9074.0,True,446.0,0,125,0,2025-11-09,2026-03-15,126,1.0,2597794849698.2617,2320595717119.857,2704409900689.956
엔겐남,Lv.285~289,엔젤릭버스터,크로아,루나크로아,3,8517.0,False,269.0,1,97,27,2025-11-10,2026-02-16,22,0.1746,861368231063.2273,182743036338.02856,137957085841.3187
엔넬,Lv.285~289,궁수,루나,루나크로아,3,9412.0,True,2446.0,0,125,0,2025-11-09,2026-03-15,110,0.873,1625766486784.3635,993530880826.6571,1583084974915.9011
엔단,Lv.290~294,아델,엘리시움,기타,2,9464.0,True,2115.0,0,125,0,2025-11-09,2026-03-15,107,0.8492,8999879188706.318,167178697144.2,10517976030676.143
엔모요,Lv.290~294,엔젤릭버스터,크로아,루나크로아,1,9480.0,True,3174.0,0,125,0,2025-11-09,2026-03-15,125,0.9921,9854852790342.184,3803160541064.2856,12074131646763.988
엔새딩,Lv.285~289,엔젤릭버스터,크로아,루나크로아,3,9642.0,True,2784.0,0,125,0,2025-11-09,2026-03-15,105,0.8333,760335132324.3048,524550430955.82855,675559602314.2638
엔엔,Lv.290~294,마법사,베라,베라,2,9119.0,True,1273.0,0,125,0,2025-11-09,2026-03-15,118,0.9365,4225580541832.7627,2997310903877.457,4326512332973.132
엔젤러스리아,Lv.285~289,엔젤릭버스터,루나,루나크로아,3,9525.0,True,4965.0,0,125,0,2025-11-09,2026-03-15,100,0.7937,2391240231019.67,724841263808.7142,2348951416139.143
엔젤릭복근이,Lv.285~289,엔젤릭버스터,오로라,기타,2,9699.0,True,2310.0,0,125,0,2025-11-09,2026-03-15,101,0.8016,3681219543332.6235,920031399516.5143,3731890932895.791
엔탑에이드,Lv.290~294,마법사,오로라,기타,2,10610.0,True,3147.0,0,125,0,2025-11-09,2026-03-15,119,0.9444,7692437018579.244,2761574319033.857,8997196747744.451
엔팅,Lv.285~289,메르세데스,크로아,루나크로아,3,9096.0,False,4224.0,1,1,110,2025-11-24,2025-11-24,1,0.0079,55937.0,1598.2,0.0
엘라뷰,Lv.285~289,렌,오로라,기타,3,7262.0,False,253.0,1,1,124,2025-11-10,2025-11-10,1,0.0079,1954619753104.0,55846278660.11429,0.0
엘레,Lv.290~294,도적,스카니아,스카니아,2,9535.0,True,2278.0,0,125,0,2025-11-09,2026-03-15,122,0.9683,4167650579225.3853,2433223589497.2856,4651544450913.099
엘렌예렌,Lv.285~289,렌,루나,루나크로아,3,9006.0,True,269.0,0,125,0,2025-11-09,2026-03-15,106,0.8413,1010814065839.5283,1764634101921.0571,498726345184.0989
엘룬의사제단,Lv.285~289,칼리,루나,루나크로아,3,9022.0,True,976.0,0,125,0,2025-11-09,2026-03-15,99,0.7857,2067335622137.9797,865202977799.7715,1916309037018.3296
엘리머리스,Lv.285~289,렌,스카니아,스카니아,3,6510.0,False,269.0,1,56,61,2025-11-17,2026-01-12,36,0.3051,2335889569475.6665,1754594636022.889,403494168445.12085
엘릭서기부점,Lv.285~289,카이저,오로라,기타,3,9618.0,True,2635.0,1,115,7,2025-11-12,2026-03-08,29,0.2302,65760189667.55173,24115248144.17143,11681448519.923077
엘사극한,Lv.290~294,마법사,스카니아,스카니아,1,10090.0,True,2459.0,0,125,0,2025-11-09,2026-03-15,126,1.0,9785387485599.111,4405482082971.771,11854581871225.012
엘산,Lv.290~294,마법사,유니온,기타,2,9795.0,True,2825.0,0,125,0,2025-11-09,2026-03-15,123,0.9762,5600957847399.081,1883511388334.457,6846097985037.154
엘셰,Lv.290~294,도적,크로아,루나크로아,2,9520.0,True,5723.0,0,125,0,2025-11-09,2026-03-15,125,0.9921,5121014726182.848,4011231531815.057,5491579529223.3955
엘크,Lv.285~289,초월자,크로아,루나크로아,2,9291.0,True,4623.0,0,121,0,2025-11-13,2026-03-15,103,0.8175,6578604263869.078,2499238266117.971,6484867031476.77
엘프SICS,Lv.290~294,메르세데스,크로아,루나크로아,2,10122.0,True,632.0,0,125,0,2025-11-09,2026-03-15,63,0.5,611266068194.4445,21423743914.2,414944299552.2308
엠닛,Lv.285~289,기사단,크로아,루나크로아,3,9077.0,True,449.0,0,125,0,2025-11-09,2026-03-15,94,0.746,754650399323.6809,477227368309.5714,595979996105.3956
엠블,Lv.285~289,도적,스카니아,스카니아,2,9182.0,True,1536.0,0,125,0,2025-11-09,2026-03-15,104,0.8254,3788585862488.279,3075440726623.6284,3146950596340.154
엥구퀸,Lv.285~289,렌,스카니아,기타,3,10108.0,True,269.0,0,113,1,2025-11-21,2026-03-14,87,0.7632,424598724313.1149,1227898156968.2173,95587158296.3956
엥총,Lv.285~289,도적,크로아,루나크로아,3,8997.0,False,3511.0,1,1,121,2025-11-13,2025-11-13,1,0.0079,1080428100000.0,30869374285.714287,0.0
여니,Lv.295~299,궁수,루나,루나크로아,1,10025.0,True,2445.0,0,125,0,2025-11-09,2026-03-15,123,0.9762,6916474780913.594,3692997831281.3716,7928257955577.187
여라영,Lv.290~294,마법사,크로아,루나크로아,2,9681.0,True,2278.0,0,125,0,2025-11-09,2026-03-15,87,0.6905,2103203581037.2185,696139588797.9143,1743009076289.1318
여력,Lv.285~289,마법사,루나,루나크로아,3,9944.0,False,2506.0,1,6,114,2025-11-14,2025-11-20,3,0.0238,127219002395.33333,10904485919.6,0.0
여름밤의꿀,Lv.285~289,기사단,유니온,기타,3,9686.0,True,4103.0,0,125,0,2025-11-09,2026-03-15,109,0.8651,1134510793149.5046,244003079012.22858,1265072183383.1648
여름비내리는,Lv.285~289,아크,엘리시움,기타,3,9713.0,False,2451.0,1,114,11,2025-11-09,2026-03-04,26,0.2063,1151237156378.9614,126620859157.05714,280224571377.53845
